payment_id,order_id,payment_method,amount,payment_date,status
2001,1001,credit_card,1349.98,2024-02-01,success
2002,1002,CREDIT_CARD,49.98,2024/02/05,Success
2003,1003,debit_card,129.99,05-02-2024,pending
2004,1004,paypal,79.99,2024-02-15,success
2005,1005,Credit Card,149.99,2024-02-20,success
2006,1005,credit_card,150.00,2024-02-20,success
2007,1007,bank_transfer,189.98,2024-03-01,success
2008,1008,DEBIT_CARD,99.99,2024/03/05,success
2009,1009,paypal,,2024-03-10,cancelled
2010,1010,credit_card,129.99,2024-03-15,success
2011,1011,Credit_Card,574.98,10-03-2024,success
2012,1012,bank_transfer,399.99,2024-03-25,pending
2013,1013,paypal,69.98,2024-03-30,success
2014,1014,credit_card,149.99,2024-04-05,success
2015,1015,debit_card,,2024-04-10,failed
2016,1016,PAYPAL,199.99,2024/04/15,success
2017,1017,credit_card,559.98,2024-04-20,success
2018,1018,bank_transfer,89.99,20-04-2024,returned
2019,1019,Credit Card,179.98,2024-04-30,success
2020,1020,CREDIT_CARD,524.99,2024/05/05,Success
2021,1021,paypal,99.98,2024-05-10,success
2022,1022,bank_transfer,1499.98,2024-05-15,pending
2023,1023,credit_card,249.99,15-05-2024,success
2024,1024,debit_card,589.98,2024-05-25,success
2025,1025,paypal,399.99,2024-06-01,success
